region,product type,product name,producer name,regulator number,application method,label minimum rate,label maximum rate,label suggested rate,rate UOM,number of AI,AI1,AI1 eiq,AI1 group,AI1_concentration_%,AI2,AI2 eiq,AI2 group,AI2_concentration_%,AI3,AI3 eiq,AI3 group,AI3_concentration_%,AI4,AI4 eiq,AI4 group,AI4_concentration_%,eiq total,min days between applications,REI (hours),PHI (days)
USA,Storage Sprout Inhibitor,PIN NIP 2EC,"1,4GROUP, Inc.",72790-1,Storage Treatment - Ventilation,,10.0,,ppm,1,Chlorpropham,38.0,,9.2,,,,,,,,,,,,,,,,
USA,Storage Sprout Inhibitor,PIN NIP 98% CHLORPROPHAM,"1,4GROUP, Inc.",65726-3,Storage Treatment - Ventilation,16.66,33.33,,ppm,1,Chlorpropham,38.0,,9.7,,,,,,,,,,,,,,,,
USA,Storage Sprout Inhibitor,CIPC 7 AEROSOL,Aceto Agricultural Chemicals Corporation,2749-517,Storage Treatment - Ventilation,16.66,24.17,,ppm,1,Chlorpropham,38.0,,5.4,,,,,,,,,,,,,,,,
USA,Storage Sprout Inhibitor,CIPC 98A,Aceto Agricultural Chemicals Corporation,2749-520,Storage Treatment - Ventilation,16.66,33.33,,ppm,1,Chlorpropham,38.0,,4.9,,,,,,,,,,,,,,,,
CA,Storage Sprout Inhibitor,ACETO SHIELD BRIQUETTES,"ACETO LIFE SCIENCES, L.L.C.",29031,Storage Treatment - Ventilation,0.015,0.038,,kg / t,1,Chlorpropham,38.0,,3.3,,,,,,,,,,,,,,,,
CA,Storage Sprout Inhibitor,ACETO SHIELD PELLETS,"ACETO LIFE SCIENCES, L.L.C.",29037,Storage Treatment - Ventilation,0.015,0.038,,kg / t,1,Chlorpropham,38.0,,11.0,,,,,,,,,,,,,,,,
CA,Storage Sprout Inhibitor,98 A POTATO SPROUT INHIBITOR,AG Services INC.,27402,Storage Treatment - Ventilation,0.015,0.038,,kg / t,1,Chlorpropham,38.0,,12.1,,,,,,,,,,,,,,,,
CA,Storage Sprout Inhibitor,SPROUT NIP 980,Brenntag Canada Inc.,27213,Storage Treatment - Ventilation,0.017,0.033,,kg / t,1,Chlorpropham,38.0,,12.2,,,,,,,,,,,,,,90.0,,
USA,Storage Sprout Inhibitor,DECCO 271 AEROSOL,"Cerexagri, Inc.",2792-70,Storage Treatment - Ventilation,17.0,33.0,51.0,ppm,1,Chlorpropham,38.0,,13.8,,,,,,,,,,,,,,,,
USA,Storage Sprout Inhibitor,DECCO 276 EC,"Cerexagri, Inc.",2792-40,Storage Treatment - Ventilation,10.4,10.4,10.4,ppm,1,Chlorpropham,38.0,,8.4,,,,,,,,,,,,,,,,
USA,Storage Sprout Inhibitor,DECCO 280 AEROSOL,"Cerexagri, Inc.",2792-74,Storage Treatment - Ventilation,17.0,33.0,51.0,ppm,1,Chlorpropham,38.0,,12.4,,,,,,,,,,,,,,,,
CA,Storage Sprout Inhibitor,DECCO 271,"DECCO U.S. POST-HARVEST, INC.",26927,Storage Treatment - Ventilation,0.015,0.038,,kg / t,1,Chlorpropham,38.0,,11.6,,,,,,,,,,,,,,,,
CA,Storage Sprout Inhibitor,DECCO 271 AEROSOL,"DECCO U.S. POST-HARVEST, INC.",26927,Storage Treatment - Ventilation,0.015,0.038,,kg / t,1,Chlorpropham,38.0,,6.9,,,,,,,,,,,,,,,,
USA,Storage Sprout Inhibitor,SPROUT NIP 7A,Loveland Products Inc.,34704-614,Storage Treatment - Ventilation,16.66,16.66,,ppm,1,Chlorpropham,38.0,,8.8,,,,,,,,,,,,,,,,
USA,Storage Sprout Inhibitor,SPROUT NIP EMULSIFIABLE CONCENTRATE,Loveland Products Inc.,34704-613,Storage Treatment - Piler,,9.45,,ppm,1,Chlorpropham,38.0,,11.1,,,,,,,,,,,,,,,,
USA,Storage Fungicide,BIOX - COMBO,"Pace International, LLC",64864-62,Storage Treatment - Ventilation,5.2,28.0,28.0,ppm,2,Chlorpropham,38.0,,13.8,Clove Oil,,,12.2,,,,,,,,,,,,
USA,Field Insecticide,GRANDEVO,"PRO FARM GROUP, INC.",84059-17,Foliar,1.0,3.0,6.0,lb / ac,1,Chromobacterium subtsugae strain PRAA4-1,,,14.2,,,,,,,,,,,,,,,,
USA,Field Insecticide,GRANDEVO WDG,"PRO FARM GROUP, INC.",84059-27,Foliar,0.5,3.0,,lb / ac,1,Chromobacterium subtsugae strain PRAA4-1,,,12.7,,,,,,,,,,,,,,,,
CA,Field Herbicide,ARROW 240 EC,Adama Agricultural Solutions Canada Ltd.,28224,Foliar,0.38,0.38,0.38,l / ha,1,Clethodim,37.33333333,,6.9,,,,,,,,,,,,,,,,
CA,Field Herbicide,ARROW ALL IN,Adama Agricultural Solutions Canada Ltd.,33225,Foliar,0.25,0.76,0.76,l / ha,1,Clethodim,37.33333333,,14.0,,,,,,,,,,,,,,,,
CA,Field Herbicide,ADVANTAGE CLETHODIM 240,Advantage Crop Production,33721,Foliar,0.38,0.38,0.38,l / ha,1,Clethodim,37.33333333,,10.1,,,,,,,,,,,,,,,,
CA,Field Herbicide,CLETHODIM 240,Albaugh LLC,32334,Foliar,0.125,0.38,0.38,l / ha,1,Clethodim,37.33333333,,1.9,,,,,,,,,,,,,,,,
USA,Field Herbicide,CLETHODIM 2E HERBICIDE,"Albaugh, LLC",42750-72,Ground,6.0,16.0,32.0,fl oz/acre,1,Clethodim,37.33333333,,11.6,,,,,,,,,,,,,,,,
USA,Field Herbicide,CERIDIAN 2EC,"Atticus, LLC",91234-154,Foliar,6.0,16.0,32.0,fl oz/acre,1,Clethodim,37.33333333,,6.9,,,,,,,,,,,,,,,,
CA,Field Herbicide,CENTURION ADV,BASF Canada Inc,34836,Foliar,0.25,0.75,0.75,l / ha,1,Clethodim,37.33333333,,8.7,,,,,,,,,,,,,,,,
CA,Field Herbicide,CENTURION,Bayer CropScience Inc.,27598,Foliar,0.38,0.38,0.38,l / ha,1,Clethodim,37.33333333,,11.0,,,,,,,,,,,,,,,,
USA,Field Herbicide,OMNI CLETHODIM 2 EC,Helena Chemical Company,38167-39-5905,Foliar,6.0,16.0,32.0,fl oz/acre,1,Clethodim,37.33333333,,11.5,,,,,,,,,,,,,,,,
USA,Field Herbicide,TAPOUT,Helena Chemical Company,5905-578,Ground,9.0,32.0,129.0,fl oz/acre,1,Clethodim,37.33333333,,10.6,,,,,,,,,,,,,,,,
USA,Field Herbicide,AVATAR,INNVICTIS CROP CARE LLC,89168-11-89391,Foliar,6.0,16.0,32.0,fl oz/acre,1,Clethodim,37.33333333,,3.8,,,,,,,,,,,,,,,,
CA,Field Herbicide,SHADOW RTM,Loveland Products Canada Inc.,29277,Foliar,,0.38,,l / ha,1,Clethodim,37.33333333,,6.1,,,,,,,,,,,,,,,,
USA,Field Herbicide,INTENSITY,Loveland Products Inc.,34704-864,Ground,6.0,16.0,64.0,fl oz/acre,1,Clethodim,37.33333333,,12.5,,,,,,,,,,,,,,,,
USA,Field Herbicide,INTENSITY ONE,Loveland Products Inc.,34704-976,Ground,9.0,32.0,64.0,fl oz/acre,1,Clethodim,37.33333333,,3.0,,,,,,,,,,,,,,,,
USA,Field Herbicide,ARROW 2 EC HERBICIDE,"Makhteshim-Agan of North America, Inc.",66222-60,Ground,6.0,16.0,64.0,fl oz/acre,1,Clethodim,37.33333333,,6.9,,,,,,,,,,,,,,,,
CA,Field Herbicide,STATUE,Nufarm Agriculture Inc.,32885,Air,0.125,0.38,0.38,l / ha,1,Clethodim,37.33333333,,8.0,,,,,,,,,,,,,,,,
CA,Field Herbicide,STATUE,Nufarm Agriculture Inc.,32885,Foliar,0.125,0.38,0.38,l / ha,1,Clethodim,37.33333333,,10.5,,,,,,,,,,,,,,,,
USA,Field Herbicide,VOLUNTEER HERBICIDE,"TENKOZ, Inc.",59639-3-55467,Ground,6.0,16.0,32.0,fl oz/acre,1,Clethodim,37.33333333,,8.3,,,,,,,,,,,,,,,,
CA,Field Herbicide,SELECT,UPL AgroSolutions Canada Inc,22625,Foliar,0.125,0.38,,l / ha,1,Clethodim,37.33333333,,4.2,,,,,,,,,,,,,,,,
CA,Field Herbicide,SELECT 1EC HERBICIDE,UPL AgroSolutions Canada Inc.,34250,Foliar,0.25,0.75,0.75,l / ha,1,Clethodim,37.33333333,,12.2,,,,,,,,,,,,,,,,
USA,Field Herbicide,SHADOW 3EC HERBICIDE,"UPL NA, INC.",66330-414,Foliar,2.9,10.3,20.7,fl oz/acre,1,Clethodim,37.33333333,,11.8,,,,,,,,,,,,,,14.0,,
USA,Field Herbicide,TRIZENTA 3EC,"UPL NA, INC.",66330-414,Foliar,2.9,10.3,20.7,fl oz/acre,1,Clethodim,37.33333333,,15.0,,,,,,,,,,,,,,14.0,,
USA,Field Herbicide,SELECT 2EC HERBICIDE,Valent USA Corporation,59639-3,Ground,6.0,16.0,32.0,fl oz/acre,1,Clethodim,37.33333333,,3.6,,,,,,,,,,,,,,,,
USA,Field Herbicide,SELECT MAX HERBICIDE,Valent USA Corporation,59639-132,Ground,9.0,32.0,64.0,fl oz/acre,1,Clethodim,37.33333333,,5.7,,,,,,,,,,,,,,,,
USA,Field Herbicide,GATLIN,"WEST CENTRAL DISTRIBUTION, LLC",42750-72-46661,Foliar,6.0,16.0,32.0,fl oz/acre,1,Clethodim,37.33333333,,1.4,,,,,,,,,,,,,,14.0,,
USA,Field Herbicide,VAQUERO HERBICIDE,Wilbur-Ellis Company,2935-559,Ground,6.0,16.0,64.0,fl oz/acre,1,Clethodim,37.33333333,,9.5,,,,,,,,,,,,,,,,
CA,Field Herbicide,ANTLER 240 EC,Winfield Solutions LLC,32880,Foliar,0.125,0.38,,l / ha,1,Clethodim,37.33333333,,6.6,,,,,,,,,,,,,,,,
USA,Field Herbicide,SECTION 2EC,"Winfield Solutions, LLC",42750-72-1381,Ground,6.0,16.0,32.0,fl oz/acre,1,Clethodim,37.33333333,,13.1,,,,,,,,,,,,,,,,
CA,Seed Treatment,EMESTO QUANTUM,BAYER CROPSCIENCE INC.,30362,Seed Treatment - Liquid,30.0,30.0,,ml / 100 kg,2,Clothianidin,115.3333333,,10.7,Penflufen,,,4.8,,,,,,,,,,,,
CA,Seed Treatment,TITAN,Bayer CropScience Inc.,27449,Seed Treatment - Liquid,10.4,20.8,,ml / 100 kg,1,Clothianidin,115.3333333,,13.4,,,,,,,,,,,,,,,,
CA,Field Insecticide,CLUTCH 50 WDG,"Valent Canada, Inc",29382,Foliar,70.0,105.0,,g / ha,1,Clothianidin,115.3333333,,6.3,,,,,,,,,,,,,,,,
CA,Seed Treatment,NIPSIT INSIDE 600 INSECTICIDE,"Valent Canada, Inc",28975,Seed Treatment - Liquid,10.4,20.8,,ml / 100 kg,1,Clothianidin,115.3333333,,14.6,,,,,,,,,,,,,,,,
USA,Field Insecticide,BELAY 16 WSG INSECTICIDE,Valent USA Corporation,59639-153,Furrow,10.0,20.0,,oz / ac,1,Clothianidin,115.3333333,,13.6,,,,,,,,,,,,,,,,
USA,Field Insecticide,BELAY 50 WDG INSECTICIDE,Valent USA Corporation,59639-152,Chemigation,1.1,1.6,,oz / ac,1,Clothianidin,115.3333333,,6.7,,,,,,,,,,,,,,,,
USA,Field Insecticide,BELAY INSECTICIDE,Valent USA Corporation,59639-150,Foliar,0.4,0.6,12.0,fl oz/cwt,1,Clothianidin,115.3333333,,9.1,,,,,,,,,,,,,,,,
USA,Field Insecticide,BELAY INSECTICIDE,Valent USA Corporation,59639-150,Furrow,0.4,0.6,12.0,fl oz/cwt,1,Clothianidin,115.3333333,,3.2,,,,,,,,,,,,,,,,
USA,Seed Treatment,BELAY INSECTICIDE,Valent USA Corporation,59639-150,Seed Treatment - Liquid,0.4,0.6,12.0,fl oz/cwt,1,Clothianidin,115.3333333,,4.6,,,,,,,,,,,,,,,,
USA,Field Fungicide,CONTANS WG,Danstar Ferment AG,72444-1,Soil Incorporated,1.0,6.0,,lb / ac,1,Coniothyrium minitans strain CON/M/91-08,,,5.2,,,,,,,,,,,,,,,,
USA,Field Fungicide,BADGE SC,Gowan Company,80289-3,Chemigation,1.0,4.0,88.1,pt / ac,1,Copper,29.0,,9.5,,,,,,,,,,,,,,,,
USA,Field Fungicide,BADGE SC,Gowan Company,80289-3,Foliar,1.0,4.0,88.1,pt / ac,1,Copper,29.0,,4.2,,,,,,,,,,,,,,,,
USA,Field Fungicide,BADGE X2,Gowan Company,80289-12,Foliar,1.0,4.0,89.3,lb / ac,1,Copper,29.0,,12.9,,,,,,,,,,,,,,,,
USA,Field Fungicide,COPPER-COUNT-N,VENATOR CHEMICALS LLC,10465-3,Foliar,1.5,3.0,129.5,qt / ac,1,Copper,29.0,,13.1,,,,,,,,,,,,,,,,
USA,Field Fungicide,NU-COP 30 HB,"Albaugh, LLC",42750-281,Foliar,0.5,2.5,83.3,lb / ac,1,Copper hydroxide,50.0,,6.4,,,,,,,,,,,,,,,,
USA,Field Fungicide,NU-COP 3L,"Albaugh, LLC",42750-75,Foliar,0.666,6.5,66.0,pt / ac,1,Copper hydroxide,50.0,,11.3,,,,,,,,,,,,,,,,
USA,Field Fungicide,NU-COP 50DF,"Albaugh, LLC",45002-4,Foliar,1.0,5.0,50.0,lb / ac,1,Copper hydroxide,50.0,,12.6,,,,,,,,,,,,,,,,
USA,Field Fungicide,NU-COP 50WP,"Albaugh, LLC",45002-7,Foliar,1.0,5.0,50.0,lb / ac,1,Copper hydroxide,50.0,,2.5,,,,,,,,,,,,,,,,
USA,Field Fungicide,NU-COP HB,"Albaugh, LLC",42750-132,Foliar,0.5,2.5,50.0,lb / ac,1,Copper hydroxide,50.0,,9.1,,,,,,,,,,,,,,,,
USA,Field Fungicide,NU-COP XLR,"Albaugh, LLC",42750-217,Foliar,1.2,20.0,200.0,pt / ac,1,Copper hydroxide,50.0,,9.6,,,,,,,,,,,,,,,,
USA,Field Fungicide,KOCIDE 3000-O,Certis USA LLC,91411-11-7005,Chemigation,0.5,1.75,83.3,lb / ac,1,Copper hydroxide,50.0,,13.4,,,,,,,,,,,,,,,,
USA,Field Fungicide,KOCIDE 3000-O,Certis USA LLC,91411-11-7005,Foliar,0.5,1.75,83.3,lb / ac,1,Copper hydroxide,50.0,,14.7,,,,,,,,,,,,,,,,
USA,Field Fungicide,KOCIDE HCU,Certis USA LLC,91411-12-70051,Foliar,1.0,4.0,49.9,lb / ac,1,Copper hydroxide,50.0,,13.7,,,,,,,,,,,,,,,,
USA,Field Fungicide,KOCIDE 101,COSACO LLC,1812-288,Foliar,1.0,4.0,50.0,lb / ac,1,Copper hydroxide,50.0,,1.4,,,,,,,,,,,,,,,,
USA,Field Fungicide,KOCIDE 2000,COSACO LLC,352-656,Foliar,0.75,3.0,71.4,lb / ac,1,Copper hydroxide,50.0,,6.0,,,,,,,,,,,,,,,,
USA,Field Fungicide,KOCIDE 3000,COSACO LLC,352-662,Foliar,0.5,1.75,83.3,lb / ac,1,Copper hydroxide,50.0,,14.3,,,,,,,,,,,,,,,,
USA,Field Fungicide,MANKOCIDE FUNGICIDE,COSACO LLC,352-690,Foliar,1.5,5.0,74.66,lb / ac,2,Copper hydroxide,50.0,,10.4,Mancozeb,,,3.1,,,,,,,,,,,,
USA,Field Fungicide,CHAMPION,Nufarm,55146-115,Chemigation,0.5,1.75,83.3,lb / ac,1,Copper hydroxide,50.0,,8.9,,,,,,,,,,,,,,,,
USA,Field Fungicide,CHAMPION,Nufarm,55146-115,Foliar,0.5,1.75,83.3,lb / ac,1,Copper hydroxide,50.0,,8.7,,,,,,,,,,,,,,,,
USA,Field Fungicide,CHAMP DP DRY PRILL,Nufarm Americas Inc.,55146-57,Foliar,0.67,2.67,66.7,lb / ac,1,Copper hydroxide,50.0,,6.9,,,,,,,,,,,,,,,,
USA,Field Fungicide,CHAMP FORMULA 2 FLOWABLE,Nufarm Americas Inc.,55146-64,Foliar,0.66,2.66,69.0,pt / ac,1,Copper hydroxide,50.0,,12.2,,,,,,,,,,,,,,,,
USA,Field Fungicide,CHAMP WG FUNGICIDE,Nufarm Americas Inc.,55146-1,Foliar,1.0,5.0,50.0,lb / ac,1,Copper hydroxide,50.0,,14.4,,,,,,,,,,,,,,,,
USA,Field Fungicide,CHAMPION WETTABLE POWDER,Nufarm Americas Inc.,55146-1,Chemigation,1.0,5.0,50.0,lb / ac,1,Copper hydroxide,50.0,,6.4,,,,,,,,,,,,,,,,
USA,Field Fungicide,CHAMPION WETTABLE POWDER,Nufarm Americas Inc.,55146-1,Foliar,1.0,5.0,50.0,lb / ac,1,Copper hydroxide,50.0,,12.1,,,,,,,,,,,,,,,,
USA,Field Fungicide,RIDOMIL GOLD/COPPER,Syngenta Crop Protection,100-804,Foliar,2.0,2.0,6.0,lb / ac,2,Copper hydroxide,50.0,,3.1,Mefenoxam (soil),,,8.7,,,,,,,,,,,,
CA,Field Fungicide,COPPERCIDE WP,United Agri Products Canada Inc.,16047,Foliar,1.1,3.4,,kg / ha,1,Copper hydroxide,50.0,,10.0,,,,,,,,,,,,,,7.0,,
USA,Field Fungicide,NORDOX,NORDOX Industrier AS,48142-1,Foliar,1.0,6.0,,lb / ac,1,Copper oxide,29.0,,9.9,,,,,,,,,,,,,,,,
CA,Field Fungicide,COPPER SPRAY,LOVELAND PRODUCTS CANADA INC.,19146,Foliar,4.0,4.0,,kg / ha,1,Copper Oxychloride,44.33333333,,5.2,,,,,,,,,,,,,,5.0,,
USA,Field Fungicide,COPPER SULFATE CRYSTAL,Chem One Ltd.,56576-1,Foliar,10.0,10.0,100.0,lb / ac,1,Copper sulfate,39.33333333,,8.8,,,,,,,,,,,,,,,,
USA,Field Fungicide,CS 2005,"MAGNA-BON II, LLC",66675-3,Chemigation,19.2,32.0,40.0,oz / ac,1,Copper sulfate pentahydrate,,,14.8,,,,,,,,,,,,,,,,
USA,Field Fungicide,CS 2005,"MAGNA-BON II, LLC",66675-3,Foliar,19.2,32.0,40.0,oz / ac,1,Copper sulfate pentahydrate,,,8.2,,,,,,,,,,,,,,,,
USA,Field Fungicide,MASTERCOP FUNGICIDE,"Makhteshim-Agan of North America, Inc.",55272-18-66222,Foliar,0.5,1.5,22.0,pt / ac,1,Copper sulfate pentahydrate,,,8.2,,,,,,,,,,,,,,,,
CA,Field Fungicide,COPPER 53W,Loveland Products Canada Inc.,9934,Foliar,,3.8,,kg / ha,1,Copper Sulphate,39.33333333,,4.3,,,,,,,,,,,,,,5.0,,
CA,Field Insecticide,GOVERNOR 75WP,"Syngenta Canada, Inc.",24464,Foliar,186.0,373.0,,g / ha,1,Cryomazine,61.83333333,,9.8,,,,,,,,,,,,,,,,
CA,Field Insecticide,EXIREL,FMC Corporation,30895,Foliar,250.0,1500.0,4.5,ml / ha,1,Cyantraniliprole,57.83333333,,8.9,,,,,,,,,,,,,,,,
USA,Field Insecticide,EXIREL,FMC CORPORATION,352-859,Foliar,5.0,20.5,,fl oz/acre,1,Cyantraniliprole,57.83333333,,14.5,,,,,,,,,,,,,,,,
CA,Seed Treatment,HGW86 200SC,FMC Corporation,32270,Seed Treatment - Liquid,45.0,45.0,1.5,ml / 100 kg,1,Cyantraniliprole,57.83333333,,9.4,,,,,,,,,,,,,,,,
USA,Field Insecticide,VERIMARK,FMC Corporation,279-9616,Furrow,0.46,0.75,,fl oz/cwt,1,Cyantraniliprole,57.83333333,,3.4,,,,,,,,,,,,,,,,
CA,Field Insecticide,VERIMARK,FMC Corporation,30892,Furrow,750.0,1000.0,1.5,ml / ha,1,Cyantraniliprole,57.83333333,,13.3,,,,,,,,,,,,,,,,
USA,Seed Treatment,VERIMARK,FMC Corporation,279-9616,Seed Treatment - Liquid,0.46,0.75,,fl oz/cwt,1,Cyantraniliprole,57.83333333,,4.5,,,,,,,,,,,,,,,,
CA,Field Insecticide,HARVANTA 50SL INSECTICIDE,ISK Biosciences Corporation,32889,Foliar,0.4,1.2,3.6,l / ha,1,Cyantraniliprole,57.83333333,,7.1,,,,,,,,,,,,,,,,
USA,Field Insecticide,HARVANTA 50 SL INSECTICIDE,"SUMMIT AGRO USA, LLC",71512-26-88783,Foliar,10.9,16.4,49.2,fl oz/acre,1,Cyantraniliprole,57.83333333,,3.3,,,,,,,,,,,,,,,,
CA,Nematicide,MINECTO DUO 40WG,"Syngenta Canada, Inc.",30900,Furrow,440.0,700.0,,g / ha,2,Cyantraniliprole,57.83333333,,9.3,Thiamethoxam,,,5.6,,,,,,,,,,,,
USA,Field Fungicide,RANMAN,FMC Corporation,71512-3-279,Foliar,6.5,6.5,27.5,fl oz/acre,1,Cyazofamid,50.66666667,,9.7,,,,,,,,,,,,,,,,
USA,Field Fungicide,RANMAN,FMC Corporation,71512-3-279,Furrow,6.5,6.5,27.5,fl oz/acre,1,Cyazofamid,50.66666667,,7.2,,,,,,,,,,,,,,,,
USA,Field Fungicide,RANMAN,FMC Corporation,71512-3-279,Lay-by,6.5,6.5,27.5,fl oz/acre,1,Cyazofamid,50.66666667,,2.9,,,,,,,,,,,,,,,,
CA,Field Insecticide,CYAZOFAMID 400SC,ISK Biosciences Corporation,8277,Foliar,0.55,1.0,,l / ha,1,Cyazofamid,50.66666667,,6.0,,,,,,,,,,,,,,7.0,,
CA,Field Fungicide,RANMAN 400SC,ISK Biosciences Corporation,30716,Foliar,0.099,0.198,,l / ha,1,Cyazofamid,50.66666667,,6.9,,,,,,,,,,,,,,,,
USA,Field Insecticide,BAYTHROID 2,Bayer Crop Science LP,264-745,Foliar,0.8,2.8,16.8,fl oz/acre,1,Cyfluthrin,71.66666667,,4.7,,,,,,,,,,,,,,,,
USA,Field Insecticide,BAYTHROID XL,Bayer Crop Science LP,264-840,Foliar,0.8,2.8,16.8,fl oz/acre,1,Cyfluthrin,71.66666667,,12.9,,,,,,,,,,,,,,,,
USA,Field Insecticide,LEVERAGE 2.7,Bayer Crop Science LP,264-770,Foliar,3.0,3.8,16.0,fl oz/acre,2,Cyfluthrin,71.66666667,,6.3,Imidacloprid,,,9.7,,,,,,,,,,,,
USA,Field Insecticide,LEVERAGE 360 INSECTICIDE,Bayer Crop Science LP,264-1104,Foliar,2.8,2.8,12.8,fl oz/acre,2,Cyfluthrin,71.66666667,,6.5,Imidacloprid,,,9.1,,,,,,,,,,,,
USA,Field Insecticide,TOMBSTONE HELIOS,Loveland Products Inc.,34704-978,Chemigation,0.8,2.8,16.8,fl oz/acre,1,Cyfluthrin,71.66666667,,9.4,,,,,,,,,,,,,,,,
USA,Field Insecticide,TOMBSTONE HELIOS,Loveland Products Inc.,34704-978,Foliar,0.8,2.8,16.8,fl oz/acre,1,Cyfluthrin,71.66666667,,6.7,,,,,,,,,,,,,,,,
USA,Field Insecticide,TOMBSTONE INSECTICIDE,Loveland Products Inc.,34704-912,Foliar,0.8,2.8,16.8,fl oz/acre,1,Cyfluthrin,71.66666667,,11.2,,,,,,,,,,,,,,,,
USA,Field Insecticide,DECLARE INSECTICIDE,FMC CORPORATION,67760-96,Foliar,0.77,1.54,6.15,fl oz/acre,1,Cyhalothrin,74.66666667,,9.1,,,,,,,,,,,,,,,,
CA,Field Insecticide,SILENCER 120 EC,Adama Agricultural Solutions Canada LTD.,29052,Foliar,83.0,125.0,250.0,ml / ha,1,Cyhalothrin-lambda,69.83333333,,11.4,,,,,,,,,,,,,,,,
CA,Field Insecticide,MATADOR 120EC,"Syngenta Canada, Inc.",24984,Air,83.0,125.0,250.0,ml / ha,1,Cyhalothrin-lambda,69.83333333,,1.2,,,,,,,,,,,,,,7.0,,
CA,Field Insecticide,MATADOR 120EC,"Syngenta Canada, Inc.",24984,Foliar,83.0,125.0,250.0,ml / ha,1,Cyhalothrin-lambda,69.83333333,,6.5,,,,,,,,,,,,,,7.0,,
CA,Field Insecticide,WARRIOR,"Syngenta Canada, Inc.",26837,Foliar,83.0,125.0,250.0,ml / ha,1,Cyhalothrin-lambda,69.83333333,,7.8,,,,,,,,,,,,,,,,
USA,Field Fungicide,CURZATE 60 DF,"CORTEVA AGRISCIENCE, LLC",352-592,Foliar,0.25,0.25,22.4,oz / cwt,1,Cymoxanil,33.0,,9.3,,,,,,,,,,,,,,,,
USA,Seed Treatment,CURZATE 60 DF,"CORTEVA AGRISCIENCE, LLC",352-592,Seed Treatment - Powder,0.25,0.25,22.4,oz / cwt,1,Cymoxanil,33.0,,4.5,,,,,,,,,,,,,,,,
USA,Field Fungicide,TANOS,"CORTEVA AGRISCIENCE, LLC",352-604,Chemigation,6.0,8.0,48.0,oz / ac,2,Cymoxanil,33.0,,3.4,Famoxadone,,,8.1,,,,,,,,,,,,
USA,Field Fungicide,TANOS,"CORTEVA AGRISCIENCE, LLC",352-604,Foliar,6.0,8.0,48.0,oz / ac,2,Cymoxanil,33.0,,4.8,Famoxadone,,,6.1,,,,,,,,,,,,
CA,Field Fungicide,CURZATE 60 DF,Production Agriscience Canada Company,26284,Foliar,225.0,225.0,,g / ha,1,Cymoxanil,33.0,,13.7,,,,,,,,,,,,,,5.0,,
CA,Field Fungicide,TANOS 50 DF,Production Agriscience Canada Company,27435,Foliar,560.0,840.0,,g / ha,1,Cymoxanil,33.0,,11.4,,,,,,,,,,,,,,12.0,,
CA,Field Insecticide,RIPCORD 400 EC,BASF Canada Inc.,15738,Foliar,62.5,125.0,,ml / ha,1,Cypermethrin,63.0,,6.0,,,,,,,,,,,,,,,,
CA,Field Insecticide,UP-CYDE 2.5 EC,"UPL NA, Inc.",28795,Foliar,140.0,200.0,,ml / ha,1,Cypermethrin,63.0,,1.0,,,,,,,,,,,,,,,,
USA,Field Fungicide,BOTRAN 5F,Gowan Company,10163-226,Foliar,1.2,3.667,6.0,qt / ac,1,DCNA,81.66666667,,5.6,,,,,,,,,,,,,,,,
USA,Field Fungicide,BOTRAN 75-W FUNGICIDE,Gowan Company,10163-189,Foliar,2.0,6.0,10.0,lb / ac,1,DCNA,81.66666667,,4.1,,,,,,,,,,,,,,,,
CA,Field Insecticide,CONCEPT,Bayer CropScience Inc.,29611,Foliar,650.0,650.0,,ml / ha,2,Deltamethrin,67.33333333,,5.3,Imidacloprid,,,14.8,,,,,,,,,,,,
CA,Field Insecticide,DECIS 100EC INSECTICIDE,Bayer CropScience Inc.,33700,Foliar,50.0,125.0,250.0,ml / ha,1,Deltamethrin,67.33333333,,4.7,,,,,,,,,,,,,,,,
CA,Field Insecticide,DECIS 5 EC,Bayer CropScience Inc.,17734,Foliar,100.0,150.0,,ml / ha,1,Deltamethrin,67.33333333,,1.2,,,,,,,,,,,,,,5.0,,
CA,Field Insecticide,DECIS 5 EC,Bayer CropScience Inc.,22478,Foliar,100.0,150.0,,ml / ha,1,Deltamethrin,67.33333333,,2.4,,,,,,,,,,,,,,5.0,,
CA,Field Insecticide,DECIS FLOWABLE,Bayer CropScience Inc.,25573,Foliar,100.0,250.0,,ml / ha,1,Deltamethrin,67.33333333,,1.0,,,,,,,,,,,,,,,,
USA,Field Insecticide,DELTA GOLD INSECTICIDE,"Winfield Solutions, LLC",264-1011-1381,Foliar,1.0,2.4,12.0,fl oz/acre,1,Deltamethrin,67.33333333,,3.9,,,,,,,,,,,,,,,,
USA,Field Fungicide,ORBUS ESQ,Atticus LLC,91234-246,Foliar,9.0,14.5,64.0,fl oz/acre,2,Difenoconazole,64.66666667,,4.1,Fluazinam,,,12.4,,,,,,,,,,7.0,,
USA,Field Fungicide,REGEV,"Summit Argo USA, LLC",86182-5-88783,Foliar,4.0,8.5,34.0,fl oz/acre,1,Difenoconazole,64.66666667,,7.5,,,,,,,,,,,,,,,,
CA,Seed Treatment,CRUISER MAXX VIBRANCE Potato,SYNGENTA CANADA INC.,32009,Seed Treatment - Liquid,32.5,32.5,,ml / 100 kg,4,Difenoconazole,64.66666667,,14.3,Fludioxonil,,,3.0,Sedaxane,,,8.9,Thiamethoxam,,,3.2,,,,
