CP ID,country,region,type,regulator number,name,registrant,application method,formulation,min rate,min rate uom,max rate,Max rate UOM,min days between applications,REI (h),PHI (d)
a1Y4W000002lTXYUA2,United States,,Field Insecticide,228-484,NUPRID 2F INSECTICIDE,Nufarm Americas Inc.,Furrow,Liquid,13,fl oz/acre,20,fl oz/acre,,12,
a1Y4W000002lTXYUA2,United States,,Seed Treatment,228-484,NUPRID 2F INSECTICIDE,Nufarm Americas Inc.,Seed Treatment - Liquid,Liquid,8,fl oz/acre,16,fl oz/acre,,12,
a1Y4W000002lTXaUAM,United States,,Field Insecticide,228-527,NUPRID 4.6F PRO INSECTICIDE,Nufarm Americas Inc.,Furrow,Liquid,5.7,fl oz/acre,8.7,fl oz/acre,,12,
a1Y4W000002lTXaUAM,United States,,Seed Treatment,228-527,NUPRID 4.6F PRO INSECTICIDE,Nufarm Americas Inc.,Seed Treatment - Liquid,Liquid,3.4,fl oz/acre,7,fl oz/acre,,12,
a1Y4W000002lTXbUAM,United States,,Field Insecticide,228-528,NUPRID 4F MAX INSECTICIDE,Nufarm Americas Inc.,Foliar,Liquid,1.5,fl oz/acre,1.5,fl oz/acre,7,12,7
a1Y4W000002lTXbUAM,United States,,Field Insecticide,228-528,NUPRID 4F MAX INSECTICIDE,Nufarm Americas Inc.,Furrow,Liquid,6.5,fl oz/acre,10,fl oz/acre,,12,7
a1Y4W000002lTXbUAM,United States,,Seed Treatment,228-528,NUPRID 4F MAX INSECTICIDE,Nufarm Americas Inc.,Seed Treatment - Liquid,Liquid,4,fl oz/acre,8,fl oz/acre,,12,7
a1Y4W000002lTXZUA2,,Idaho,Field Insecticide,228-572,NUPRID 2SC,Nufarm Americas Inc.,Foliar,Liquid,3,fl oz/acre,3,fl oz/acre,7,12,7
a1Y4W000002lTXZUA2,,Idaho,Field Insecticide,228-572,NUPRID 2SC,Nufarm Americas Inc.,Furrow,Liquid,13,fl oz/acre,20,fl oz/acre,,12,7
a1Y4W000002lTXZUA2,,Idaho,Seed Treatment,228-572,NUPRID 2SC,Nufarm Americas Inc.,Seed Treatment - Liquid,Liquid,8,fl oz/acre,16,fl oz/acre,,12,7
a1Y4W000002lTXZUA2,,Maine,Field Insecticide,228-572,NUPRID 2SC,Nufarm Americas Inc.,Foliar,Liquid,3,fl oz/acre,3,fl oz/acre,7,12,7
a1Y4W000002lTXZUA2,,Maine,Field Insecticide,228-572,NUPRID 2SC,Nufarm Americas Inc.,Furrow,Liquid,13,fl oz/acre,20,fl oz/acre,,12,7
a1Y4W000002lTXZUA2,,Maine,Seed Treatment,228-572,NUPRID 2SC,Nufarm Americas Inc.,Seed Treatment - Liquid,Liquid,8,fl oz/acre,16,fl oz/acre,,12,7
a1Y4W000002lTXZUA2,,Wisconsin,Field Insecticide,228-572,NUPRID 2SC,Nufarm Americas Inc.,Foliar,Liquid,3,fl oz/acre,3,fl oz/acre,7,12,7
a1Y4W000002lTXZUA2,,Wisconsin,Field Insecticide,228-572,NUPRID 2SC,Nufarm Americas Inc.,Furrow,Liquid,13,fl oz/acre,20,fl oz/acre,,12,7
a1Y4W000002lTXZUA2,,Wisconsin,Seed Treatment,228-572,NUPRID 2SC,Nufarm Americas Inc.,Seed Treatment - Liquid,Liquid,8,fl oz/acre,16,fl oz/acre,,12,7
a1Y4W000002lTS1UAM,United States,,Field Insecticide,228-658,ABAMECTIN 0.15 EC INSECTICIDE,Nufarm Americas Inc.,Foliar,Liquid,8,fl oz/acre,16,fl oz/acre,7,12,14
a1Y4W000002lTUZUA2,United States,,Desiccant,228-675,DIQUAT 2L HERBICIDE,Nufarm Americas Inc.,Foliar,Liquid,1,pt/acre,2,pt/acre,,24,7
a1Y4W000002lTS2UAM,United States,,Field Insecticide,228-734,ABAMEX INSECTICIDE,Nufarm Americas Inc.,Foliar,Liquid,8,fl oz/acre,16,fl oz/acre,,12,14
a1Y4W000002lTiwUAE,Canada,,Field Insecticide,23006,IMIDAN 50-WP INSTAPAK,Gowan Company L.L.C.,Foliar,Dry,2.25,kg/ha,2.25,kg/ha,,12,7
a1Y4W000002lTivUAE,,New Brunswick,Field Herbicide - Pre-emergence,23180,IGNITE 15 SN,BASF Canada Inc.,Ground,Liquid,2.7,L/ha,5,L/ha,,12,9
a1Y4W000002lTk3UAE,Canada,,Field Herbicide - Post-emergence,23983,PRISM,Production Agriscience Canada Company,Foliar,Dry,60,g/ha,60,g/ha,,12,30
a1Y4W000002lTh1UAE,Canada,,Field Insecticide,24094,ADMIRE 240 Flowable Systemic Insecticide,Bayer Cropscience Inc.,Foliar,Liquid,200,ml/ha,200,ml/ha,,12,7
a1Y4W000002lTh1UAE,Canada,,Field Insecticide,24094,ADMIRE 240 Flowable Systemic Insecticide,Bayer Cropscience Inc.,Furrow,Liquid,667,ml/ha,1333,ml/ha,,12,7
a1Y4W000002lTh1UAE,Canada,,Seed Treatment,24094,ADMIRE 240 Flowable Systemic Insecticide,Bayer Cropscience Inc.,Seed Treatment - Liquid,Liquid,582,ml/ha,874,ml/ha,,12,7
a1Y4W000002lTYhUAM,United States,,Field Herbicide - Pre-emergence,241-337,PROWL 3.3 EC HERBICIDE,BASF Corporation,Ground,Liquid,1.8,pt/acre,3.6,pt/acre,,24,
a1Y4W000002lTS7UAM,United States,,Field Herbicide - Pre-emergence,241-337-55467,ACUMEN HERBICIDE,"TENKOZ, Inc.",Ground,Liquid,1.8,pt/acre,3.6,pt/acre,,24,
a1Y4W000002lgeIUAQ,United States,,Field Herbicide - Pre-emergence,241-337-5905,PENDIMETHALIN,Helena Chemical Company,Ground,Liquid,1.8,pt/acre,3.6,pt/acre,,24,
a1Y4W000002lTY6UAM,United States,,Field Herbicide - Pre-emergence,241-337-71058,PENDIPRO 3.3 EC HERBICIDE,"Independent Agribusiness Professionals, Inc.",Ground,Liquid,1.8,pt/acre,3.6,pt/acre,,24,
a1Y4W000002lTYiUAM,United States,,Field Herbicide - Post-emergence,241-418,PROWL H2O HERBICIDE,BASF Corporation,Chemigation,Liquid,1.5,pt/acre,3,pt/acre,,24,
a1Y4W000002lTYiUAM,United States,,Field Herbicide - Post-emergence,241-418,PROWL H2O HERBICIDE,BASF Corporation,Foliar,Liquid,1.5,pt/acre,3,pt/acre,,24,
a1Y4W000002lTYiUAM,United States,,Field Herbicide - Pre-emergence,241-418,PROWL H2O HERBICIDE,BASF Corporation,Ground,Liquid,1.5,pt/acre,3,pt/acre,,24,
a1Y4W000002lTVFUA2,United States,,Field Fungicide,241-427,FORUM FUNGICIDE,BASF Corporation,Foliar,Liquid,4,fl oz/acre,6,fl oz/acre,,12,4
a1Y4W000002lTinUAE,,New Brunswick,Field Insecticide,24464,GOVERNOR 75WP,"Syngenta Canada, Inc.",Foliar,Dry,186,g/ha,373,g/ha,,12,14
a1Y4W000002lTjwUAE,Canada,,Field Herbicide - Post-emergence,24835,POAST ULTRA,BASF Canada Inc.,Foliar,Liquid,,L/ha,1.1,L/ha,,12,80
a1Y4W000002lTjJUAU,Canada,,Field Insecticide,24984,MATADOR 120EC,"Syngenta Canada, Inc.",Air,Liquid,83,ml/ha,83,ml/ha,7,12,7
a1Y4W000002lTjJUAU,Canada,,Field Insecticide,24984,MATADOR 120EC,"Syngenta Canada, Inc.",Foliar,Liquid,83,ml/ha,125,ml/ha,7,12,7
a1Y4W000002lThVUAU,Canada,,Fumigant,25103,BUSAN 1236,"Buckman Laboratories of Canada, Ltd.",Fumigation,Liquid,365,L/ha,695,L/ha,,120,
a1Y4W000002lTeaUAE,Canada,,Field Fungicide,25397,PENNCOZEB 75DF,"UPL NA, INC.",Foliar,Dry,1.1,kg/ha,2.25,kg/ha,,12,3
a1Y4W000002lTi8UAE,,New Brunswick,Field Insecticide,25573,DECIS FLOWABLE,Bayer Cropscience Inc.,Foliar,Liquid,100,ml/ha,250,ml/ha,,12,1
a1Y4W000002lTi2UAE,Canada,,Field Insecticide,25651,CYGON 480 AG,FMC of Canada Limited,Foliar,Liquid,0.55,L/ha,1,L/ha,,12,7
a1Y4W000002lTeMUAU,Canada,,Field Herbicide - Pre-emergence,25728,DUAL MAGNUM,"Syngenta Canada, Inc.",Ground,Liquid,1.25,L/ha,1.75,L/ha,,12,
a1Y4W000004Cv7NUAS,Canada,,Field Herbicide - Pre-emergence,25729,DUAL II MAGNUM,Syngenta Canada Inc,Ground,Liquid,1.25,L/ha,1.75,L/ha,,12,
a1Y4W000004Cv7NUAS,Canada,,Field Herbicide - Pre-plant,25729,DUAL II MAGNUM,Syngenta Canada Inc,Ground,Liquid,1.25,L/ha,1.75,L/ha,,12,
a1Y4W000002lTheUAE,Canada,,Fumigant,25863,CHLOROPICRIN 100,"TriEst Ag Group, Inc.",Soil Incorporated,Liquid,55,L/ha,55,L/ha,,,
a1Y4W000002lTjoUAE,Canada,,Field Fungicide,25901,PARASOL FLOWABLE,Nufarm Agriculture Inc.,Foliar,Liquid,0.8,L/ha,2.4,L/ha,5,48,2
a1Y4W000002lTedUAE,Canada,,Field Fungicide,26153,QUADRIS FLOWABLE FUNGICIDE,"Syngenta Canada, Inc.",Foliar,Liquid,500,ml/ha,800,ml/ha,7,12,1
a1Y4W000002lTedUAE,Canada,,Field Fungicide,26153,QUADRIS FLOWABLE FUNGICIDE,"Syngenta Canada, Inc.",Furrow,Liquid,4,ml/100m,6,ml/100m,,12,1
a1Y4W000002lTkcUAE,,Alberta,Field Herbicide - Post-emergence,26280,SENCOR 480 F HERBICIDE,Bayer Cropscience Inc.,Foliar,Liquid,550,ml/ha,550,ml/ha,,12,60
a1Y4W000002lTkcUAE,,Manitoba,Field Herbicide - Post-emergence,26280,SENCOR 480 F HERBICIDE,Bayer Cropscience Inc.,Foliar,Liquid,550,ml/ha,550,ml/ha,,12,60
a1Y4W000002lTkcUAE,,New Brunswick,Field Herbicide - Post-emergence,26280,SENCOR 480 F HERBICIDE,Bayer Cropscience Inc.,Foliar,Liquid,850,ml/ha,2.25,L/ha,,12,90
a1Y4W000002lTkcUAE,,New Brunswick,Field Herbicide - Pre-emergence,26280,SENCOR 480 F HERBICIDE,Bayer Cropscience Inc.,Ground,Liquid,850,ml/ha,2.25,L/ha,,12,60
a1Y4W000002lTkcUAE,,Prince Edward Island,Field Herbicide - Post-emergence,26280,SENCOR 480 F HERBICIDE,Bayer Cropscience Inc.,Foliar,Liquid,850,ml/ha,2.25,L/ha,,12,90
a1Y4W000002lTkcUAE,,Prince Edward Island,Field Herbicide - Pre-emergence,26280,SENCOR 480 F HERBICIDE,Bayer Cropscience Inc.,Ground,Liquid,850,ml/ha,2.25,L/ha,,12,60
a1Y4W000002lTeJUAU,Canada,,Field Fungicide,26284,CURZATE 60 DF,Production Agriscience Canada Company,Foliar,Dry,225,g/ha,225,g/ha,5,24,8
a1Y4W000002lTegUAE,Canada,,Desiccant,26396,REGLONE,"Syngenta Canada, Inc.",Foliar,Liquid,1.25,L/ha,3.5,L/ha,4,24,1
a1Y4W000002lTUDUA2,United States,,Field Insecticide,264-1011-1381,DELTA GOLD INSECTICIDE,"Winfield Solutions, LLC",Foliar,Liquid,1,fl oz/acre,2.4,fl oz/acre,,12,3
a1Y4W000002lTXJUA2,United States,,Field Insecticide,264-1050,MOVENTO,Bayer Crop Science LP,Foliar,Liquid,4,fl oz/acre,5,fl oz/acre,,24,7
a1YOF000000OpJ72AK,,Maine,Field Fungicide,264-1055,DELARO 325 SC,BAYER CROPSCIENCE LP,Foliar,Liquid,8,fl oz/acre,11.4,fl oz/acre,,12,14
a1Y4W000002lTRrUAM,United States,,Field Fungicide,264-1078,VELUM PRIME,Bayer Crop Science LP,Chemigation,Liquid,4,fl oz/acre,6.84,fl oz/acre,,12,7
a1Y4W000002lTRrUAM,United States,,Field Fungicide,264-1078,VELUM PRIME,Bayer Crop Science LP,Foliar,Liquid,4,fl oz/acre,6.84,fl oz/acre,,12,7
a1Y4W000002lTRrUAM,United States,,Field Fungicide,264-1078,VELUM PRIME,Bayer Crop Science LP,Furrow,Liquid,4,fl oz/acre,6.84,fl oz/acre,,12,7
a1Y4W000004Cz4CUAS,United States,,Field Fungicide,264-1084,LUNA PRO,BAYER CROPSCIENCE LP,Foliar,Liquid,8,fl oz/acre,10.2,fl oz/acre,,12,14
a1Y4W000002lTWUUA2,United States,,Field Fungicide,264-1085,LUNA TRANQUILITY FUNGICIDE,Bayer Crop Science LP,Chemigation,Liquid,8,fl oz/acre,11.2,fl oz/acre,,12,7
a1Y4W000002lTWUUA2,United States,,Field Fungicide,264-1085,LUNA TRANQUILITY FUNGICIDE,Bayer Crop Science LP,Foliar,Liquid,8,fl oz/acre,11.2,fl oz/acre,,12,7
a1Y4W000002lTWPUA2,United States,,Field Insecticide,264-1104,LEVERAGE 360 INSECTICIDE,Bayer Crop Science LP,Foliar,Liquid,2.8,fl oz/acre,2.8,fl oz/acre,,12,7
a1Y4W000002lTUsUAM,United States,,Seed Treatment,264-1123,EMESTO SILVER FUNGICIDE,Bayer Crop Science LP,Seed Treatment - Liquid,Liquid,0.31,fl oz/cwt,0.31,fl oz/cwt,,12,
a1Y4W000002lTRnUAM,United States,,Field Insecticide,264-1141,SIVANTO,Bayer Crop Science LP,Foliar,Liquid,7,fl oz/acre,14,fl oz/acre,,4,7
a1Y4W000002lTRlUAM,United States,,Field Fungicide,264-1160,SERENADE OPTI,Bayer Crop Science LP,Foliar,Dry,8,oz/acre,48,oz/acre,5,4,0
a1Y4W000002lTZsUAM,United States,,Field Fungicide,264-1160,SERENADE OPTIMUM,Bayer Crop Science LP,Foliar,Dry,8,oz/acre,48,oz/acre,5,4,0
a1Y4W000002lTXKUA2,United States,,Field Insecticide,264-1188,MOVENTO HL,Bayer Crop Science LP,Foliar,Liquid,2,fl oz/acre,2.5,fl oz/acre,,24,7
a1Y4W000004Cz4HUAS,United States,,Field Fungicide,264-1222,VELUM RISE,BAYER CROPSCIENCE LP,Furrow,Liquid,13,fl oz/acre,13,fl oz/acre,,12,
a1Y4W000004Cz4HUAS,United States,,Field Fungicide,264-1222,VELUM RISE,BAYER CROPSCIENCE LP,Soil Incorporated,Liquid,13,fl oz/acre,13,fl oz/acre,,12,
a1Y4W000002lTZvUAM,United States,,Field Insecticide,264-316,SEVIN 80S,Bayer Crop Science LP,Foliar,Dry,0.625,lb/acre,2.5,lb/acre,,12,7
a1Y4W000002lTRmUAM,United States,,Field Insecticide,264-333,SEVIN XLR PLUS,Bayer Crop Science LP,Foliar,Liquid,0.5,qt/acre,2,qt/acre,,12,7
a1Y4W000002lTZtUAM,United States,,Field Insecticide,264-349,SEVIN 4F,Bayer Crop Science LP,Foliar,Liquid,0.5,qt/acre,2,qt/acre,,12,7
a1Y4W000002lTX7UAM,,Idaho,Nematicide,264-457,MOCAP 15G,Amvac Chemical Corporation,Ground,Dry,27,lb/acre,80,lb/acre,,48,
a1Y4W000002lTX7UAM,,Maine,Nematicide,264-457,MOCAP 15G,Amvac Chemical Corporation,Ground,Dry,27,lb/acre,60,lb/acre,,48,
a1Y4W000002lTX7UAM,,Washington,Nematicide,264-457,MOCAP 15G,Amvac Chemical Corporation,Ground,Dry,27,lb/acre,80,lb/acre,,48,
a1Y4W000002lTX7UAM,,Wisconsin,Nematicide,264-457,MOCAP 15G,Amvac Chemical Corporation,Ground,Dry,27,lb/acre,60,lb/acre,,48,
a1Y4W000002lTX8UAM,United States,,Nematicide,264-458,MOCAP EC,Bayer Crop Science LP,Ground,Liquid,0.66,gal/acre,2,gal/acre,,48,
a1Y4W000002lTZwUAM,United States,,Field Insecticide,264-526,SEVIN 80WSP,Bayer Crop Science LP,Foliar,Dry,0.625,lb/acre,2.5,lb/acre,,12,7
a1Y4W000002lTYYUA2,United States,,Field Fungicide,264-678,PREVICUR FLEX,Bayer Crop Science LP,Foliar,Liquid,0.7,pt/acre,1.2,pt/acre,,12,14
a1Y4W000002lTYzUAM,United States,,Field Fungicide,264-695,REASON 500 SC FUNGICIDE,Bayer Crop Science LP,Foliar,Liquid,5.5,fl oz/acre,8.2,fl oz/acre,,12,14
a1Y4W000002lTXcUAM,United States,,Field Insecticide,264-719,OBERON 2 SC INSECTICIDE/MITICIDE,Bayer Crop Science LP,Foliar,Liquid,8,fl oz/acre,16,fl oz/acre,,12,7
a1Y4W000002lTZrUAM,,Idaho,Field Herbicide - Pre-emergence,264-738,SENCOR DF HERBICIDE,Bayer Crop Science LP,Ground,Dry,0.33,lb/acre,1.33,lb/acre,14,12,60
a1Y4W000002lTZrUAM,,Maine,Field Herbicide - Pre-emergence,264-738,SENCOR DF HERBICIDE,Bayer Crop Science LP,Ground,Dry,0.33,lb/acre,1.33,lb/acre,,12,60
a1Y4W000002lTZrUAM,,Washington,Field Herbicide - Pre-emergence,264-738,SENCOR DF HERBICIDE,Bayer Crop Science LP,Ground,Dry,0.33,lb/acre,1.33,lb/acre,14,12,60
a1Y4W000002lTZrUAM,,Wisconsin,Field Herbicide - Pre-emergence,264-738,SENCOR DF HERBICIDE,Bayer Crop Science LP,Ground,Dry,0.33,lb/acre,1.33,lb/acre,,12,60
a1Y4W000002lTStUAM,United States,,Field Insecticide,264-745,BAYTHROID 2,Bayer Crop Science LP,Foliar,Liquid,0.8,fl oz/acre,2.8,fl oz/acre,,12,0
a1Y4W000002lTS9UAM,United States,,Field Insecticide,264-758,ADMIRE 2 FLOWABLE,Bayer Crop Science LP,Foliar,Liquid,13,fl oz/acre,20,fl oz/acre,,12,
a1Y4W000002lTYcUAM,United States,,Field Insecticide,264-763,PROVADO 1.6 FLOWABLE,Bayer Crop Science LP,Foliar,Liquid,3.8,fl oz/acre,3.8,fl oz/acre,,12,7
a1Y4W000002lTWOUA2,United States,,Field Insecticide,264-770,LEVERAGE 2.7,Bayer Crop Science LP,Foliar,Liquid,3,fl oz/acre,3.8,fl oz/acre,,12,7
a1Y4W000002lTVRUA2,United States,,Field Fungicide,264-781,GEM FUNGICIDE,Bayer Crop Science LP,Foliar,Dry,6,oz/acre,8,oz/acre,,12,7
a1Y4W000002lTZfUAM,United States,,Field Fungicide,264-788,SCALA BRAND SC FUNGICIDE,Bayer Crop Science LP,Foliar,Liquid,7,fl oz/acre,7,fl oz/acre,,12,7
a1Y4W000002lTVQUA2,United States,,Field Fungicide,264-826,GEM 500 SC,Bayer Crop Science LP,Foliar,Liquid,3,fl oz/acre,3.8,fl oz/acre,,12,7
a1Y4W000002lTSAUA2,United States,,Field Insecticide,264-827,ADMIRE PRO SYSTEMIC,Bayer Crop Science LP,Foliar,Liquid,1.3,fl oz/acre,1.3,fl oz/acre,7,12,7
a1Y4W000002lTSAUA2,United States,,Field Insecticide,264-827,ADMIRE PRO SYSTEMIC,Bayer Crop Science LP,Furrow,Liquid,5.7,fl oz/acre,8.7,fl oz/acre,,12,7
a1Y4W000002lTSAUA2,United States,,Seed Treatment,264-827,ADMIRE PRO SYSTEMIC,Bayer Crop Science LP,Seed Treatment - Liquid,Liquid,3.5,fl oz/acre,7,fl oz/acre,,12,7
a1Y4W000002lTSuUAM,United States,,Field Insecticide,264-840,BAYTHROID XL,Bayer Crop Science LP,Foliar,Liquid,0.8,fl oz/acre,2.8,fl oz/acre,,12,0
a1Y4W000002lTXdUAM,,Idaho,Field Insecticide,264-850,OBERON 4 SC INSECTICIDE/MITICIDE,Bayer Crop Science LP,Chemigation,Liquid,4,fl oz/acre,8,fl oz/acre,,12,7
a1Y4W000002lTXdUAM,,Idaho,Field Insecticide,264-850,OBERON 4 SC INSECTICIDE/MITICIDE,Bayer Crop Science LP,Foliar,Liquid,4,fl oz/acre,8,fl oz/acre,,12,7
a1Y4W000002lTXdUAM,,Washington,Field Insecticide,264-850,OBERON 4 SC INSECTICIDE/MITICIDE,Bayer Crop Science LP,Chemigation,Liquid,4,fl oz/acre,8,fl oz/acre,,12,7
a1Y4W000002lTXdUAM,,Washington,Field Insecticide,264-850,OBERON 4 SC INSECTICIDE/MITICIDE,Bayer Crop Science LP,Foliar,Liquid,4,fl oz/acre,8,fl oz/acre,,12,7
a1Y4W000002lTjPUAU,Canada,,Seed Treatment,26647,MAXIM PSP,"Syngenta Canada, Inc.",Seed Treatment - Powder,Dry,227.27,g/cwt,227.27,g/cwt,,,
a1Y4W000002lTeoUAE,Canada,,Field Insecticide,26835,SUCCESS,Corteva Agrosciences Canada Company,Foliar,Liquid,83,ml/ha,167,ml/ha,7,12,7
a1Y4W000002lTeuUAE,Canada,,Field Insecticide,26837,WARRIOR,"Syngenta Canada, Inc.",Foliar,Liquid,83,ml/ha,125,ml/ha,,12,7
a1Y4W000002lTleUAE,Canada,,Field Fungicide,26840,ZOXIUM 80W,Gowan Company L.L.C.,Foliar,Dry,175,g/ha,235,g/ha,7,48,3
a1Y4W000002lTigUAE,Canada,,Field Fungicide,26842,GAVEL 75 DF,Gowan Company L.L.C.,Foliar,Dry,1.7,kg/ha,2.25,kg/ha,,12,3
a1Y4W000002lThPUAU,Canada,,Field Insecticide,26854,BIOPROTEC CAF,AEF Global Inc,Foliar,Liquid,1.4,L/ha,2.8,L/ha,,,
a1Y4W000002lThGUAU,Canada,,Field Insecticide,27128,ASSAIL 70 WP,Nippon Soda Company,Foliar,Dry,40,g/ha,86,g/ha,,12,7
a1Y4W000002lTitUAE,Canada,,Field Fungicide,27322,HEADLINE EC,BASF Canada Inc.,Foliar,Liquid,0.45,L/ha,0.67,L/ha,5,12,3
a1Y4W000002lTl3UAE,Canada,,Field Fungicide,27435,TANOS 50 DF,Production Agriscience Canada Company,Foliar,Dry,560,g/ha,840,g/ha,12,24,14
a1Y4W000002lTl9UAE,Canada,,Seed Treatment,27449,TITAN,Bayer Cropscience Inc.,Seed Treatment - Liquid,Liquid,10.4,ml/100kg,20.8,ml/100kg,,12,
a1Y4W000002lTkAUAU,Canada,,Field Fungicide,27462,REASON 500SC,Bayer Cropscience Inc.,Foliar,Liquid,200,ml/ha,200,ml/ha,,,14
a1Y4W000002lTkAUAU,Canada,,Seed Treatment,27462,REASON 500SC,Bayer Cropscience Inc.,Seed Treatment - Liquid,Liquid,224.2,ml/ha,224.2,ml/ha,,,14
a1Y4W000002lTkWUAU,Canada,,Field Herbicide - Pre-plant,27487,ROUNDUP WEATHERMAX,Bayer Cropscience Inc.,Ground,Liquid,0.5,L/ha,8,L/ha,,12,
a1Y4W000002lTj2UAE,Canada,,Field Fungicide,27495,LANCE WDG,BASF Canada Inc.,Foliar,Dry,175,g/ha,315,g/ha,,12,30
a1Y4W000002lTUYUA2,United States,,Desiccant,2749-530,DIQUAT 2L AG,"Aceto Life Sciences, L.L.C.",Foliar,Liquid,1,pt/acre,2,pt/acre,,24,7
a1Y4W000002lTh6UAE,Canada,,Field Fungicide,27517,ALLEGRO 500 F,ISK Biosciences Corporation,Air,Liquid,0.4,L/ha,0.6,L/ha,,24,14
a1Y4W000002lTh6UAE,Canada,,Field Fungicide,27517,ALLEGRO 500 F,ISK Biosciences Corporation,Foliar,Liquid,0.4,L/ha,0.6,L/ha,,24,14
a1Y4W000002lThZUAU,Canada,,Field Herbicide - Post-emergence,27598,CENTURION,Bayer Cropscience Inc.,Foliar,Liquid,0.38,L/ha,0.38,L/ha,,12,60
a1Y4W000002lTlNUAU,Canada,,Field Herbicide - Pre-plant,27615,VANTAGE PLUS MAX,Corteva Agrosciences Canada Company,Ground,Liquid,0.56,L/ha,9,L/ha,,12,
a1Y4W000002lTiPUAU,Canada,,Field Sprout Inhibitor,27654,DREXEL SPROUT-STOP 60 SG,Drexel Chemical Company,Foliar,Dry,5.65,kg/ha,5.65,kg/ha,,12,
a1Y4W000002lThOUAU,Canada,,Field Insecticide,27750,BIOPROTEC 3P,AEF Global Inc,Foliar,Dry,0.72,kg/ha,1.45,kg/ha,,,
a1Y4W000002lTgxUAE,Canada,,Field Herbicide - Post-emergence,27818,"2,4-D ESTER 700 SALVO (LOVELAND)",Loveland Products Canada Inc.,Foliar,Liquid,118.9,ml/ha,118.9,ml/ha,,12,24
a1Y4W000002lTgvUAE,Canada,,Field Herbicide - Post-emergence,27819,"2,4-D ESTER 700 HERBICIDE (IPCO)",Interprovincial Cooperative Limited,Foliar,Liquid,118.9,ml/ha,118.9,ml/ha,,12,24
a1Y4W000002lTiXUAU,Canada,,Field Insecticide,27825,ENTRUST 80,Corteva Agrosciences Canada Company,Foliar,Dry,50,g/ha,100,g/ha,,12,7
a1Y4W000002lTklUAE,Canada,,Field Insecticide,27876,SEVIN XLR,"Tessernderlo Kerly, Inc.",Foliar,Liquid,1.25,L/ha,6.4,L/ha,,12,7
a1Y4W000002lTjeUAE,Canada,,Field Insecticide,27886,NEUDOSAN,W. NEUDORFF GMBH KG,Foliar,Liquid,14,L/ha,33.17,L/ha,,,
a1Y4W000002lTYQUA2,United States,,Field Insecticide,279-3014,POUNCE 3.2 EC,FMC CORPORATION,Foliar,Liquid,4,fl oz/acre,8,fl oz/acre,,12,14
a1Y4W000002lTYPUA2,United States,,Field Insecticide,279-3051,POUNCE 25WP,FMC CORPORATION,Foliar,Dry,6.4,oz/acre,12.8,oz/acre,,12,14
a1Y4W000002lTTUUA2,United States,,Field Insecticide,279-3069,CAPTURE 2EC,FMC CORPORATION,Foliar,Liquid,2.1,fl oz/acre,6.4,fl oz/acre,21,12,21
a1Y4W000002lTTUUA2,United States,,Field Insecticide,279-3069,CAPTURE 2EC,FMC CORPORATION,Furrow,Liquid,19.2,fl oz/acre,19.2,fl oz/acre,,12,21
a1Y4W000002lTTUUA2,United States,,Field Insecticide,279-3069,CAPTURE 2EC,FMC CORPORATION,Lay-by,Liquid,3.2,fl oz/acre,9.6,fl oz/acre,,12,21
a1Y4W000002lTa7UAE,United States,,Field Herbicide - Pre-emergence,279-3189,SPARTAN,FMC CORPORATION,Ground,Dry,2,oz/acre,5.3,oz/acre,,12,
a1Y4W000002lTSLUA2,United States,,Field Herbicide,279-3241,AIM EC HERBICIDE,FMC CORPORATION,Foliar,Liquid,3.2,fl oz/acre,5.8,fl oz/acre,,12,7
a1Y4W000002lTSLUA2,United States,,Field Herbicide - Pre-emergence,279-3241,AIM EC HERBICIDE,FMC CORPORATION,Ground,Liquid,3.2,fl oz/acre,5.8,fl oz/acre,,12,7
a1Y4W000002lgd1UAA,United States,,Field Herbicide - Pre-emergence,279-3242,AIM EW HERBICIDE,FMC CORPORATION,Ground,Liquid,3.2,fl oz/acre,5.8,fl oz/acre,,12,7
a1Y4W000002lTTVUA2,United States,,Field Insecticide,279-3302,CAPTURE LFR,FMC CORPORATION,Foliar,Liquid,2.8,fl oz/acre,8.5,fl oz/acre,,12,21
a1Y4W000002lTTVUA2,United States,,Field Insecticide,279-3302,CAPTURE LFR,FMC CORPORATION,Furrow,Liquid,12.75,fl oz/acre,25.5,fl oz/acre,,12,21
a1Y4W000002lTTVUA2,United States,,Field Insecticide,279-3302,CAPTURE LFR,FMC CORPORATION,Lay-by,Liquid,12.75,fl oz/acre,25.5,fl oz/acre,,12,21
a1Y4W000002lTTVUA2,United States,,Field Insecticide,279-3302,CAPTURE LFR,FMC CORPORATION,Soil Incorporated,Liquid,12.75,fl oz/acre,25.5,fl oz/acre,,12,21
a1Y4W000002lTTMUA2,United States,,Field Insecticide,279-3313,BRIGADE 2EC,FMC CORPORATION,Foliar,Liquid,2.1,fl oz/acre,6.4,fl oz/acre,,12,21
a1Y4W000002lTTMUA2,United States,,Field Insecticide,279-3313,BRIGADE 2EC,FMC CORPORATION,Furrow,Liquid,9.6,fl oz/acre,19.2,fl oz/acre,,12,21
a1Y4W000002lTTMUA2,United States,,Field Insecticide,279-3313,BRIGADE 2EC,FMC CORPORATION,Lay-by,Liquid,3.2,fl oz/acre,9.6,fl oz/acre,,12,21
